iter	Passed	Remaining
739	4451	1563
740	4453	1556
741	4456	1549
742	4459	1542
743	4461	1535
744	4464	1528
745	4466	1520
746	4469	1513
747	4478	1508
748	4480	1501
749	4481	1493
750	4484	1486
751	4489	1480
752	4492	1473
753	4495	1466
754	4497	1459
755	4500	1452
756	4504	1446
757	4507	1439
758	4510	1432
759	4512	1425
760	4515	1418
761	4521	1412
762	4524	1405
763	4526	1398
764	4528	1391
765	4538	1386
766	4540	1379
767	4542	1372
768	4544	1365
769	4549	1358
770	4552	1352
771	4554	1344
772	4556	1338
773	4558	1330
774	4560	1324
775	4564	1317
776	4567	1310
777	4569	1303
778	4571	1296
779	4573	1289
780	4575	1283
781	4591	1280
782	4601	1275
783	4604	1268
784	4606	1261
785	4618	1257
786	4620	1250
787	4624	1244
788	4630	1238
789	4633	1231
790	4636	1225
791	4639	1218
792	4671	1219
793	4680	1214
794	4682	1207
795	4686	1200
796	4688	1194
797	4696	1188
798	4699	1182
799	4701	1175
800	4704	1168
801	4728	1167
802	4731	1160
803	4733	1153
804	4736	1147
805	4742	1141
806	4744	1134
807	4747	1128
808	4748	1121
809	4751	1114
810	4755	1108
811	4757	1101
812	4759	1094
813	4761	1088
814	4763	1081
815	4765	1074
816	4773	1069
817	4776	1062
818	4778	1056
819	4781	1049
820	4788	1043
821	4790	1037
822	4792	1030
823	4794	1024
824	4797	1017
825	4803	1011
826	4805	1005
827	4808	998
828	4811	992
829	4813	985
830	4819	980
831	4822	973
832	4824	967
833	4826	960
834	4875	963
835	4877	956
836	4926	959
837	4937	954
838	4941	948
839	4944	941
840	4958	937
841	4981	934
842	4984	928
843	4987	921
844	4991	915
845	5000	910
846	5003	903
847	5005	897
848	5011	891
849	5014	884
850	5017	878
851	5036	874
852	5044	869
853	5047	862
854	5049	856
855	5050	849
856	5053	843
857	5057	836
858	5059	830
859	5061	824
860	5063	817
861	5065	810
862	5067	804
863	5075	798
864	5077	792
865	5080	786
866	5090	780
867	5113	777
868	5118	771
869	5121	765
870	5126	759
871	5128	752
872	5131	746
873	5133	740
874	5158	736
875	5166	731
876	5169	725
877	5187	720
878	5193	714
879	5197	708
880	5199	702
881	5202	696
882	5208	690
883	5215	684
884	5218	678
885	5228	672
886	5230	666
887	5233	660
888	5235	653
889	5238	647
890	5241	641
891	5243	634
892	5245	628
893	5247	622
894	5251	616
895	5253	609
896	5255	603
897	5257	597
898	5260	590
899	5261	584
900	5266	578
